4.5034856734,2.9812684446,6.6294774633,9.1738314663,3.9,3.8
3.811671803,3.7696904898,10.3636861383,11.9369950094,3.4,3.5
4.8739178785,3.495789015,7.7016324435,10.7253194845,4.0,3.6
5.6505597512,2.5134077628,8.3131441105,11.3558407779,4.5,4.4
4.1139268254,2.523672903,9.2361719945,11.6227475959,3.4,3.4
6.4813331074,4.3855776668,7.2701046055,11.8800959649,4.8,4.5
3.5778131794,4.3784058703,7.6982516361,9.9301635255,3.4,3.4
5.8661454176,4.5703005822,8.941103871,11.6050165327,4.8,4.9
3.7937672469,2.5502135154,10.1569665275,10.4797788519,2.6,2.5
5.0445488188,3.3232121053,10.3367678418,10.5274835952,3.5,3.5
3.7271794001,4.2098618718,6.1661326853,7.4539969694,3.2,3.5
3.6918588904,4.3528076982,9.5394921147,11.3445117194,3.5,3.3
6.6197954719,4.547512848,7.0458692612,10.4068962369,3.7,3.4
4.236300387,2.4700143231,6.6605616942,7.6790967079,2.4,2.3
5.1858618648,3.1641047026,8.9603593053,12.21397128,4.2,4.0
4.993053618,4.3720487966,9.2451086078,10.3322567131,4.0,3.9
3.4200786299,3.3057660305,8.7048713004,9.0621739004,3.2,3.1
3.926381703,2.7753638895,5.3286734753,7.3545956384,3.5,3.4
4.1084037082,4.2815879066,7.5818896419,8.3975647614,2.8,2.7
3.5598453365,4.398991478,9.5834869072,9.8251638734,3.1,3.3
6.3079036671,2.8171553256,6.0946648074,10.746324127,3.0,3.9
5.0347253416,4.3583075028,5.61663475,8.6415991037,4.1,4.2
6.2923064167,2.7500139162,9.1475840861,10.396162287,3.8,3.4
5.7350878804,2.7368564526,5.4946451996,8.7358304632,2.7,3.1
5.7636591192,4.3708233011,8.1465992004,9.7496776393,4.4,3.1
5.6645781351,4.091757606,6.158243119,10.213597864,4.6,4.2
3.5454019866,2.5239189043,7.4908351471,9.4242940856,2.9,3.0
6.2775058485,3.391939274,6.5724708569,9.2088064432,2,3.2
5.0192130432,2.6991536115,8.8981989636,9.6323049561,2.8,2.8
6.3765137808,2.7336154309,7.2573342616,11.8351437395,4.4,4.5
