0.57, 0.53, 0.93, 0.31, 78.68
0.82, 0.7, 0.89, 0.47, 77.46
0.78, 0.75, 0.27, 0.24, 92.68
0.93, 0.14, 0.5, 0.34, 9.82
0.57, 0.81, 0.54, 0.8, 144.22
0.91, 0.07, 0.59, 0.89, 8.14
0.4, 0.47, 0.25, 0.53, 97.49
0.16, 0.03, 0.22, 0.87, 50.36
0.63, 0.31, 0.83, 0.58, 41.8
0.99, 0.27, 0.38, 0.55, 17.41
0.5, 0.58, 0.03, 0.38, 103.67
0.65, 0.71, 0.32, 0.61, 111.06
0.39, 0.24, 0.17, 0.46, 57.28
0.25, 0.39, 0.1, 0.96, 112.89
0.17, 0.99, 0.42, 0.1, 101.31
0.09, 0.65, 0.82, 0.72, 168.53
0.11, 0.89, 0.72, 0.83, 136.27
0.3, 0.23, 0.98, 0.67, 59.97
0.53, 0.54, 0.75, 0.29, 86.08
0.46, 0.35, 0.65, 0.23, 62.69
0.74, 0.97, 0.94, 0.93, 145.88
0.02, 0.45, 0.14, 0.19, 138.48
0.37, 0.04, 0.09, 0.04, 31.45
0.7, 0.11, 0.34, 0.65, 20.65
0.28, 0.92, 0.7, 0.97, 161.41
0.89, 0.79, 0.63, 0.02, 77.25
0.22, 0.43, 0.51, 0.76, 121.85
0.86, 0.19, 0.02, 0.43, 18.01
0.72, 0.63, 0.78, 0.13, 73.64
0.06, 0.86, 0.45, 0.16, 117.47
