4.503485673422740199e+00,2.981268444557513941e+00,6.629477463280904814e+00,9.173831466345072627e+00
3.811671803001354331e+00,3.769690489785883614e+00,1.036368613830210350e+01,1.193699500939767866e+01
4.873917878473540632e+00,3.495789015041415482e+00,7.701632443465940447e+00,1.072531948454014383e+01
5.650559751191391200e+00,2.513407762752810637e+00,8.313144110492444838e+00,1.135584077794018931e+01
4.113926825424192302e+00,2.523672902953996822e+00,9.236171994469946966e+00,1.162274759594237672e+01
6.481333107370979896e+00,4.385577666802962682e+00,7.270104605491009231e+00,1.188009596488835662e+01
3.577813179386163611e+00,4.378405870337522821e+00,7.698251636068087933e+00,9.930163525482921472e+00
5.866145417609053503e+00,4.570300582249710253e+00,8.941103871027010541e+00,1.160501653270012312e+01
3.793767246886015077e+00,2.550213515351273497e+00,1.015696652752958329e+01,1.047977885191762759e+01
5.044548818844474702e+00,3.323212105257885352e+00,1.033676784182690689e+01,1.052748359521149091e+01
3.727179400093198591e+00,4.209861871839520653e+00,6.166132685338380881e+00,7.453996969363924308e+00
3.691858890436565677e+00,4.352807698224380850e+00,9.539492114700646397e+00,1.134451171942151326e+01
6.619795471872210513e+00,4.547512847970723193e+00,7.045869261178731691e+00,1.040689623694411914e+01
4.236300387037294612e+00,2.470014323092802666e+00,6.660561694202579375e+00,7.679096707891001294e+00
5.185861864764314433e+00,3.164104702550924575e+00,8.960359305295398258e+00,1.221397127999602006e+01
4.993053617981532355e+00,4.372048796635476187e+00,9.245108607843135928e+00,1.033225671308381877e+01
3.420078629888429145e+00,3.305766030459702964e+00,8.704871300404370515e+00,9.062173900380281921e+00
3.926381702995123124e+00,2.775363889546399676e+00,5.328673475289565253e+00,7.354595638391590029e+00
4.108403708239173113e+00,4.281587906601357574e+00,7.581889641909741684e+00,8.397564761358161434e+00
3.559845336493025592e+00,4.398991478014509404e+00,9.583486907227534601e+00,9.825163873383715440e+00
6.307903667098683442e+00,2.817155325566664814e+00,6.094664807375679061e+00,1.074632412701249429e+01
5.034725341621055783e+00,4.358307502819227075e+00,5.616634749972008400e+00,8.641599103668713866e+00
6.292306416656254342e+00,2.750013916247801671e+00,9.147584086055159602e+00,1.039616228702352529e+01
5.735087880352276457e+00,2.736856452559378372e+00,5.494645199574092587e+00,8.735830463217716613e+00
5.763659119157253485e+00,4.370823301078403667e+00,8.146599200368003224e+00,9.749677639343625302e+00
5.664578135111316470e+00,4.091757605955467447e+00,6.158243119003451227e+00,1.021359786397574254e+01
3.545401986646006698e+00,2.523918904256092333e+00,7.490835147063067190e+00,9.424294085648011077e+00
6.277505848521105491e+00,3.391939274049574404e+00,6.572470856936326378e+00,9.208806443222156801e+00
5.019213043177530587e+00,2.699153611518411378e+00,8.898198963565766562e+00,9.632304956135511631e+00
6.376513780752815386e+00,2.733615430912443411e+00,7.257334261613664239e+00,1.183514373945909171e+01
